Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social,sales_total,sales_ps,sales_growth
LSI.1,LSI Corporation,12/31/2008,2132.35428,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102020,General Semiconductors,5510202010,Diversified Semiconductors,5.5102E+11,Diversified Semiconductors,5.900000095,4.670000076,5.170000076,2677.077,4.131591335,2.820432755
MTB,M&T Bank Corporation,12/31/2008,6336.07239,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201015,United States East and South Commercial Banks,3.0102E+11,United States Northeast Commercial Banks,4.960000038,4.769999981,5.869999886,4234.258,39.33162916,-5.19834705
M,Macy's Inc,12/31/2008,4352.6718,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101510,Department Stores,5010151025,United States Department Stores,5.01015E+11,United States Department Stores,3.200000048,6.349999905,6.349999905,25552,58.24037185,-4.933402783
MTW,"Manitowoc Company, Inc.",12/31/2008,1128.913738,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102025,Natural Resource and Construction Machinery Makers,4010202530,Natural Resource/Construction Machinery Products,4.0102E+11,Natural Resource/Construction Machinery Products,-,-,-,4705.6,138.6276931,17.49313358
MRO,Marathon Oil Corporation,12/31/2008,19398.24,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101520,Other Fossil Fuel Exploration and Production,2510152025,Multinational Fossil Fuel Exploration/Production,2.51015E+11,Multinational Fossil Fuel Exploration/Production,5.210000038,5.420000076,5.610000134,68126,100.85554,14.26510793
MAR,"Marriott International, Inc. Class A",12/31/2008,6799.72,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101025,"Hotels, Motels and Resorts",1.5101E+11,Full Service Hotels and Resorts,5.539999962,6.159999847,5.400000095,12879,34.72098001,-0.808687616
MMC,"Marsh & McLennan Companies, Inc.",12/31/2008,12481.23626,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,5.789999962,5.170000076,4.670000076,11575,22.40856031,1.982378855
MI.I,Marshall & Ilsley,12/31/2008,3619.253709,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201020,United States Midwest and West Commercial Banks,3.0102E+11,United States Midwest Commercial Banks,4.880000114,4.679999828,5.989999771,3709.431,15.38235849,-24.74611612
MAS,Masco Corporation,12/31/2008,3911.082,50,Consumer Non-Cyclicals,5020,Household Products,502015,Household Products,50201515,Diversified Household Products Makers,5020151510,Diversified Household Products Makers,5.02015E+11,Diversified Household Products Makers,6.409999847,7.5,8.329999924,9521,26.86685552,-19.21771593
MEE,Massey Energy Co.,12/31/2008,1178.327506,25,Energy,2510,Upstream Energy,251010,Coal and Uranium Mining,25101020,Other International Coal Mining,2510102010,Other International Coal Mining,2.5101E+11,Multinational Coal Mining,1.159999967,2.5,2,2989.759,36.06718137,24.21807972
MA,Mastercard Incorporated Class A,12/31/2008,18471.77352,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101530,Electronic Transaction Processing/Clearinghouses,3.0301E+11,Electronic Payment Processing,5.349999905,7.269999981,7.489999771,4991.6,3.835325937,22.71612811
MAT,"Mattel, Inc.",12/31/2008,5736,20,Consumer Cyclicals,2010,Consumer Goods,201015,Leisure Goods Products,20101510,Other Leisure Goods,2010151035,"Toy, Game, Hobby and Musical Instrument Products",2.01015E+11,"Toy, Game, Hobby and Musical Instrument Products",5.329999924,7,5.71999979,5918.002,16.29455187,-0.872482659
MBI,MBIA Inc.,12/31/2008,846.2380508,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Financial Guaranty Commercial Insurance,3.74000001,5,5,1055.424,5.741347448,-61.7079589
MFE,McAfee,12/31/2008,5307.690915,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153530,Network Infrastructure Software,5.52015E+11,Network Security Software,-,-,-,1600.065,10.0376711,22.30855666
MKC,"McCormick & Company, Incorporated",12/31/2008,4144.986,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151530,Other Food Production,5.01515E+11,Spices and Extracts Manufacturing,3.940000057,3.829999924,5.25,3176.55,24.1016692,8.927751501
MCD,McDonald's Corporation,12/31/2008,69360.507,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101025,Restaurants and Bars,1510102515,Limited-Service and Fast Food Restaurants,1.5101E+11,Burger Restaurants,6.929999828,6.909999847,5.699999809,23522.4,20.52565445,1.700455271
SPGI,"McGraw Hill Financial, Inc.",12/31/2008,7291.061852,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151020,Print Media and Publishing Services,1515102020,Publishing,1.5151E+11,Mixed Print Media,4.880000114,5.099999905,8.229999542,6355.055,19.9413688,-6.160789843
MCK,McKesson Corporation,12/31/2008,10612.02,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,5.25,5.079999924,6.039999962,106639,341.2852349,7.027509861
MWV,MeadWestvaco Corporation,12/31/2008,1911.403244,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201520,Paper Packaging Products,4520152020,Other Paper Packaging Products Manufacturing,4.52015E+11,Other Paper Packaging Products Manufacturing,-,-,-,6637,38.43080486,-3.895163626
MHS,Medco Health Solutions,12/31/2008,20675.26621,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151015,Healthcare Administrative Support Services,3515101520,Other Healthcare Administrative Services,3.5151E+11,Pharmacy Benefit Management (PBM),2.880000114,4.670000076,5.239999771,51257.9,98.83918241,15.17024594
MDT,Medtronic plc,12/31/2008,35134.61941,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,-,-,-,14541,11.83346467,15.59742428
SUNEQ,Memc Electronic Materials Inc.,12/31/2008,3205.86,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Wafer Blank Makers and Equipment Manufacturing,6.380000114,6.329999924,6.610000134,2004.5,8.768591426,4.303257363
MRK,"Merck & Co., Inc.",12/31/2008,64073.7864,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.650000095,3.819999933,3.019999981,23850.2,11.11746609,-1.436086901
MDP,Meredith Corporation,12/31/2008,769.6421318,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151020,Print Media and Publishing Services,1515102020,Publishing,1.5151E+11,General Publishing,1.350000024,4.050000191,4.460000038,1522.891,32.62462961,-7.086517612
MER,Merrill Lynch & Co. Inc.,12/31/2008,18626.94342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20059,10.00734334,-71.30575344
MET,"MetLife, Inc.",12/31/2008,27665.90938,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,7.190000057,5.090000153,4.880000114,52357,66.02035703,0.375759667
MCHP,Microchip Technology Incorporated,12/31/2008,3555.352619,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102030,Processor Semiconductors,5510203030,Other Processor Semiconductors,5.5102E+11,Other Processor Semiconductors,5.590000153,5.099999905,5.090000153,990.462,4.884445974,-4.163832433
MU,"Micron Technology, Inc.",12/31/2008,2016.432,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102025,Memory Semiconductors,5510202520,Volatile Memory Semiconductors,5.5102E+11,Volatile Memory Semiconductors,6.579999924,4.670000076,7.110000134,5708,7.561165049,0.263481468
MSFT,Microsoft Corporation,12/31/2008,172802.16,55,Technology,5520,Software and Consulting,552015,Software,55201540,General and Mixed-Type Software,5520154010,General and Mixed-Type Software,5.52015E+11,General and Mixed-Type Software,6.769999981,7.480000019,7.670000076,61981,6.369165787,7.052057066
MIL.2,Millipore Corp,12/31/2008,2846.9952,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,5.96999979,5.829999924,5.710000038,1602.138,28.75801906,4.608584086
MOLX,Molex Incorporated,12/31/2008,2510.110655,55,Technology,5510,Electronic Components and Manufacturing,551010,Electronic Components,55101010,Interconnect Electronic Components,5510101015,Electronic Interconnect Components,5.5101E+11,Electronic Interconnect Components,3.529999971,4.199999809,4.070000172,3199.89,18.3486149,-1.025105845
TAP,Molson Coors Brewing Company Class B,12/31/2008,8996.388,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Breweries,5.440000057,6.5,5.5,4774.2,25.73746631,-22.87975043
MON,Monsanto Company,12/31/2008,38551.93845,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451020,Specialty and Performance Chemicals,45102020,Agrochemical Products,4510202015,Other Agrochemicals Manufacturing,4.5102E+11,Biotechnology and Genomics (GMO/Hybrids) Products,3.700000048,1.629999995,3.779999971,11915,20.32004291,30.50383352
MWW,"Monster Worldwide, Inc.",12/31/2008,1434.04326,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201010,Consumer Data and Services,5520101010,Information and News Content Providers and Sites,5.5201E+11,Career Classifieds and Directories Media and Sites,-,-,-,1347.521,11.08905065,-0.280320785
MCO,Moody's Corporation,12/31/2008,4724.057726,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151030,Other Business Administrative Services,1.01015E+11,Credit and Information Bureaus,4.610000134,4.840000153,4.900000095,1755.4,7.156135344,-22.29305002
MS,Morgan Stanley,12/31/2008,16803.47824,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,6.460000038,6.619999886,4.159999847,62262,56.82369508,-29.49289969
MSI,Motorola Inc.,12/31/2008,10084.895,55,Technology,5515,Hardware,551515,Communications Equipment,55151545,Wireless Mobile Equipment,5515154520,Other Mobile Equipment,5.51515E+11,Other Mobile Equipment,7.809999943,7.840000153,8.520000458,30146,93.14999745,-17.68335973
MUR,Murphy Oil Corporation,12/31/2008,8458.157296,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,3,5.5,4.559999943,27440.834,142.8215768,48.94254819
MYL,Mylan Inc.,12/31/2008,3013.805622,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,-,-,-,5137.586,16.87996123,-
NBR,Nabors Industries Ltd.,12/31/2008,3386.66013,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201515,Oil and Gas Well Drilling,2.5102E+11,Onshore Oil and Gas Well Drilling,4.25,2.170000076,3.25999999,5511.896,-,10.42416139
NDAQ,"Nasdaq, Inc.",12/31/2008,4988.867457,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102525,Securities Exchanges and ECNs,3.0201E+11,Securities Exchanges,-,-,-,3675.029,17.84072299,28.14006941
NCC,National City Corp.,12/31/2008,3685.283382,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201020,United States Midwest and West Commercial Banks,3.0102E+11,United States Midwest Commercial Banks,4.840000153,4.940000057,5.46999979,10290.416,19.23237171,-19.63393291
NOV,"National Oilwell Varco, Inc.",12/31/2008,10200.05658,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201510,Oil and Gas Field Equipment Manufacturing,2.5102E+11,Diverse Oil and Gas Field Equipment Manufacturing,3.079999924,3.5,4,13431.4,33.68798595,37.20911227
NSM.2,National Semiconductor Corp,12/31/2008,2309.741822,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,6.389999866,6.670000076,6.440000057,1802.6,7.135452138,-2.950360719
NTAP,"NetApp, Inc.",12/31/2008,4580.41375,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152020,Data Storage Hardware,5515202020,Information and Disk Storage Systems,5.5152E+11,Disk Storage Systems,5.800000191,6.570000172,5.119999886,3602.141,9.147766485,19.59680654
NYT,New York Times Company Class A,12/31/2008,1054.084867,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151020,Print Media and Publishing Services,1515102020,Publishing,1.5151E+11,Newspapers,6.170000076,5,6.039999962,2948.856,20.50992857,-7.706261852
NWL,Newell Brands Inc,12/31/2008,2710.038,50,Consumer Non-Cyclicals,5020,Household Products,502015,Household Products,50201515,Diversified Household Products Makers,5020151510,Diversified Household Products Makers,5.02015E+11,Diversified Household Products Makers,1.879999995,3.089999914,2,6470.6,23.11754198,0.987935636
NEM,Newmont Mining Corporation,12/31/2008,18507.7552,45,Non-Energy Materials,4515,Mining and Mineral Products,451525,Metal Ore Mining,45152520,Precious Metal Mining,4515252020,Other Gold Mining,4.51525E+11,Multinational Gold Ore Mining,5.010000229,5.329999924,5.329999924,6246,13.72747253,11.5755627
FOXA,News Corp. Cl A,12/31/2008,23757.66336,-,-,-,-,-,-,-,-,-,-,-,-,3,1.519999981,3.74000001,32719,11.10602491,7.085815278
GAS.2,Nicor Inc,12/31/2008,1570.205582,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Midwest Natural Gas Utilities,4.119999886,4.96999979,3,3776.6,83.18502203,18.8993483
NKE,"NIKE, Inc. Class B",12/31/2008,24689.1,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101015,Apparel and Footwear Production,2010101520,Footwear Production,2.0101E+11,Athletic Footwear Production,8.06000042,8.170000076,9.520000458,19654.7,9.237750446,13.58012563
NI,NiSource Inc,12/31/2008,3008.651935,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Natural Gas Utilities,4.619999886,6.699999809,5.139999866,8876.4,32.21721625,11.79626691
NE,Noble Corp.,12/31/2008,5785.34891,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201515,Oil and Gas Well Drilling,2.5102E+11,Offshore Oil and Gas Well Drilling,6.429999828,6,6.820000172,3446.501,12.9176777,15.06321046
NBL,"Noble Energy, Inc.",12/31/2008,8548.694733,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101520,Other Fossil Fuel Exploration and Production,2510152025,Multinational Fossil Fuel Exploration/Production,2.51015E+11,Multinational Fossil Fuel Exploration/Production,-,-,-,4058,11.52840909,30.26421679
JWN,"Nordstrom, Inc.",12/31/2008,2866.974,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101510,Department Stores,5010151025,United States Department Stores,5.01015E+11,United States Department Stores,3.829999924,5.46999979,6.050000191,8485.186,35.45381526,-5.137467721
NSC,Norfolk Southern Corporation,12/31/2008,17231.26764,40,Industrials,4015,Industrial Services,401510,Cargo Transportation and Infrastructure Services,40151020,Road and Rail Transportation Operators,4015102010,Rail Transportation,4.0151E+11,United States Class I Railroad Transportation,4.019999981,4.829999924,4.050000191,10661,28.05526316,13.03011026
NTRS,Northern Trust Corporation,12/31/2008,11640.9397,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,6.03000021,6.210000038,7.300000191,5610.8,25.03567523,4.038568515
NOC,Northrop Grumman Corporation,12/31/2008,14728.65034,40,Industrials,4010,Industrial Manufacturing,401010,Aerospace and Defense Manufacturing,40101015,Defense Manufacturing,4010101510,Other Defense Manufacturing,4.0101E+11,Defense Contractors,3.289999962,4,6,33887,101.3064275,5.81420765
NOVL,"Novell, Inc.",12/31/2008,1335.856715,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,-,-,-,956.513,2.731278929,-0.03030927
NVLS.1,Novellus Systems Inc.,12/31/2008,1198.07826,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,4.369999886,2.670000076,3,1011.004,10.30763741,-35.60685049
NUE,Nucor Corporation,12/31/2008,14505.7374,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102030,Minimills Steel Mills and Products Manufacturing,4.5151E+11,Minimills Mixed Product Manufacturing,4.800000191,5.199999809,4.920000076,23663.324,77.30788129,42.61048771
NVDA,NVIDIA Corporation,12/31/2008,4491.61674,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102040,Specialized Semiconductors,5510204015,Multimedia Semiconductors,5.5102E+11,Video Multimedia Semiconductors,6.480000019,5.869999886,6.590000153,4146.449,6.753986933,9.868725595
NYX,NYSE Euronext,12/31/2008,7091.42,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102525,Securities Exchanges and ECNs,3.0201E+11,Securities Exchanges,4.309999943,6.349999905,6.420000076,4870,17.77358491,13.58640322
OXY,Occidental Petroleum Corporation,12/31/2008,52876.57927,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,4.769999981,5.829999924,4.71999979,24217,29.60648148,28.28839328
ODP,"Office Depot, Inc.",12/31/2008,819.0889865,20,Consumer Cyclicals,2015,Miscellaneous Retail,201515,Other Retail,20151520,Office Supplies and Stationery Retail,2015152010,Office Supplies and Stationery Retail,2.01515E+11,Office Supplies and Stationery Stores,7.119999886,6.550000191,6.559999943,14495.544,53.08459158,-6.646211824
OMC,Omnicom Group Inc,12/31/2008,8272.516,10,Business Services,1010,Business Services,101010,Marketing and Printing Services,10101010,Marketing and Advertising Services,1010101015,Other Marketing and Advertising Services,1.0101E+11,Marketing and Advertising Agencies and Networks,0.280000001,4.829999924,5.25,13359.9,42.35859226,5.24578541
ORCL,Oracle Corporation,12/31/2008,89465.58,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,5.960000038,7.349999905,6.949999809,23526,4.289539109,17.1321882
PCAR,PACCAR Inc,12/31/2008,10372.9626,40,Industrials,4010,Industrial Manufacturing,401025,Transportation Equipment Manufacturing,40102510,Commercial Transportation Equipment Manufacturing,4010251020,Heavy Duty Trucks and Trailers Manufacturing,4.01025E+11,Heavy Duty Trucks and Trailers Makers,4.869999886,5.130000114,3.880000114,14972.5,40.91965018,-1.637136457
PTV,Pactiv Corp,12/31/2008,3271.975518,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,-,-,-,3567,26.92614848,9.652628343
PLL,Pall Corporation,12/31/2008,3372.82148,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,4.289999962,5.329999924,4.389999866,2588.66,20.79172259,11.98447498
PH,Parker-Hannifin Corporation,12/31/2008,6834.764481,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102010,"Air, Liquid and Gas Control Equipment",4010201015,"Other Air, Liquid and Gas Control Equipment Makers",4.0102E+11,Valves and Fluid Control Products,3.049999952,3.170000076,3.670000076,12282.633,70.76050823,8.969254723
PDCO,"Patterson Companies, Inc.",12/31/2008,2277.01875,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102015,Medical Equipment Distributors,3.5151E+11,Medical Equipment Distributors,4.389999866,6.75,5.5,3058.654,22.56210217,5.761416195
PAYX,"Paychex, Inc.",12/31/2008,9482.326079,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Payroll Services,5.309999943,5,4.539999962,2103.045,5.574470676,5.885080643
BTUUQ,Peabody Energy Corporation,12/31/2008,6066.173272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6563.4,363.5574255,74.05093922
PBCT,"People's United Financial, Inc.",12/31/2008,6146.001,30,Finance,3010,Banking,301020,United States Banks,30102015,United States Savings Institutions,3010201510,United States East Savings Institutions,3.0102E+11,New England United States Savings Institutions,-,-,-,1218.8,3.679467796,36.57552667
POM,"Pepco Holdings, Inc.",12/31/2008,3887.774467,65,Utilities,6510,Utilities,651010,Energy Utilities,65101020,Other Electric and Natural Gas Utilities,6510102020,Other United States Energy Utilities,6.5101E+11,Other United States Energy Utilities,3,2.640000105,2.289999962,10540.9,51.70588235,12.63931781
PBG,Pepsi Bottling,12/31/2008,4749.61,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151020,Non-Alcoholic Beverage Production,5.01515E+11,Non-Alcoholic Beverage Bottling and Distribution,1.850000024,4.420000076,4.789999962,13796,62.70909091,1.508351115
PEP,"PepsiCo, Inc.",12/31/2008,85057.81,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151520,General Food and Beverage Production,5015152010,General Food and Beverage Production,5.01515E+11,General Food and Beverage Production,4.150000095,5.5,6.710000038,43251,26.99812734,9.568323453
PKI,"PerkinElmer, Inc.",12/31/2008,1629.02792,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,3.450000048,4.409999847,4.760000229,1913.842,16.51394845,7.078207674
PFE,Pfizer Inc.,12/31/2008,119471.66,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.300000191,6.920000076,4.519999981,48296,7.154962963,-0.251972407
PCG,PG&E Corporation,12/31/2008,14026.44018,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States West Electric Utilities,7.699999809,8.050000191,7.730000019,14628,40.8603352,10.50007554
PM,Philip Morris International Inc.,12/31/2008,87336.01574,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152010,Cigarette Manufacturing,5015201010,Cigarette Manufacturing,5.0152E+11,Cigarette Manufacturing,-,-,-,25705,12.37006737,-
PNW,Pinnacle West Capital Corporation,12/31/2008,3241.551007,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States West Electric Utilities,6.840000153,7.659999847,7.590000153,3318.594,32.78916456,-5.818618353
PXD,Pioneer Natural Resources Company,12/31/2008,1853.361739,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,4.650000095,6,5.099999905,2277.35,19.19465633,25.3062709
PBI,Pitney Bowes Inc.,12/31/2008,5253.496798,55,Technology,5515,Hardware,551510,Commercial Electronics,55151030,Office Equipment Products,5515103015,Other Office Equipment Manufacturing,5.5151E+11,Other Office Equipment Manufacturing,6.860000134,5.659999847,8.079999924,6262.305,29.86323699,2.161736241
PCL,"Plum Creek Timber Company, Inc.",12/31/2008,5766.84,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Land Equity REITs,6.730000019,7.21999979,7,1614,9.455184534,-3.641791045
PNC,"PNC Financial Services Group, Inc.",12/31/2008,21707,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201015,United States East and South Commercial Banks,3.0102E+11,United States Northeast Commercial Banks,6.489999771,5.679999828,6.420000076,9697,28.40381945,-5.219431141
RL,Polo Ralph Lauren Corp.,12/31/2008,4500.131,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101015,Apparel and Footwear Production,2010101515,Apparel Production,2.0101E+11,Premium Wear Production,4.989999771,5.170000076,5.78000021,5035.4,46.38878327,7.812868001
PPG,"PPG Industries, Inc.",12/31/2008,6966.947998,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451020,Specialty and Performance Chemicals,45102015,"Adhesive, Sealant, Coating and Paint Products",4510201515,Coatings Manufacturing,4.5102E+11,Coatings Manufacturing,5.940000057,4.139999866,4.400000095,15607,47.91112455,32.61109695
PPL,PPL Corporation,12/31/2008,11508.75,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Northeast Electric Utilities,4.940000057,6.230000019,6.929999828,4954,12.70562989,-24.91664141
PX,"Praxair, Inc.",12/31/2008,18215.2908,35,Healthcare,3515,Healthcare Services,351520,Miscellaneous Healthcare,35152035,Diversified Healthcare Services,3515203510,Diversified Healthcare Services,3.5152E+11,Diversified Healthcare Services,5.710000038,6.980000019,6,10796,33.9174746,14.82663263
PCP,Precision Castparts Corp.,12/31/2008,8323.336774,-,-,-,-,-,-,-,-,-,-,-,-,5.570000172,5.670000076,6.78000021,7042.5,48.14407989,6.218515279
PFG,"Principal Financial Group, Inc.",12/31/2008,5852.401,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,6.369999886,4.860000134,6.679999828,10481.2,40.14285714,-7.357516617
PG,Procter & Gamble Company,12/31/2008,181183.6981,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,6.71999979,7.570000172,7.860000134,84123,24.64664737,5.496613995
