Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social
TIF,Tiffany & Co.,12/31/2007,6243.60126,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101010,Accessories Production,2010101010,Jewelry and Other Accessories Production,2.0101E+11,Jewelry and Gems Production,4.869999886,5.699999809,5.739999771
TWX,Time Warner Inc.,12/31/2007,59320.43,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,6.239999771,5.809999943,7.150000095
TIE,Titanium Metals Corp.,12/31/2007,4840.35,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102035,Non-Ferrous Metal Products Manufacturing,4.5151E+11,Titanium Sponges and Structural Shape Products,-,-,-
TJX,TJX Companies Inc,12/31/2007,12555.51671,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101525,Off-Price Retailers,5010152510,Off-Price Retail Stores,5.01015E+11,Off-Price Retail Stores,3.900000095,5.389999866,4.96999979
TMK,Torchmark Corporation,12/31/2007,5579.37787,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,4.289999962,4.46999979,3.430000067
TT,Trane Inc.,12/31/2007,9083.424183,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102010,"Air, Liquid and Gas Control Equipment",4010201010,Environmental Control Machinery/Equipment Products,4.0102E+11,Other Heating and Cooling Equipment Manufacturing,7.070000172,5.329999924,5.559999943
RIG,Transocean Ltd.,12/31/2007,45410.45942,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201515,Oil and Gas Well Drilling,2.5102E+11,Offshore Oil and Gas Well Drilling,4.079999924,5.5,4.78000021
TRV,"Travelers Companies, Inc.",12/31/2007,33775.64,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Multi-Type Commercial Insurance,5.440000057,5.579999924,5.480000019
TEL,Tyco Electronics Ltd.,12/31/2007,-,55,Technology,5510,Electronic Components and Manufacturing,551010,Electronic Components,55101030,Diversified Electronic Components,5510103010,Diversified Electronic Components,5.5101E+11,Diversified Electronic Components,-,-,-
JCI,Tyco International PLC,12/31/2007,19479.13361,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152025,General Computer Hardware,5515202515,Diversified Technology Hardware,5.5152E+11,Diversified Technology Hardware,4.590000153,3,4.78000021
TSN,"Tyson Foods, Inc. Class A",12/31/2007,5350.17,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151525,Meat and Seafood Production,5.01515E+11,Meat and Seafood Production,4.639999866,5.170000076,4.190000057
USB,U.S. Bancorp,12/31/2007,54842.18016,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,5.309999943,4.519999981,6.670000076
UNP,Union Pacific Corporation,12/31/2007,32770.44506,40,Industrials,4015,Industrial Services,401510,Cargo Transportation and Infrastructure Services,40151020,Road and Rail Transportation Operators,4015102010,Rail Transportation,4.0151E+11,United States Class I Railroad Transportation,4.320000172,4.659999847,4.139999866
UIS,Unisys Corporation,12/31/2007,1671.624187,55,Technology,5520,Software and Consulting,552020,Technology Consulting Services,55202010,General Enterprise and Technology Consulting,5520201010,General Enterprise and Technology Consulting,5.5202E+11,General Enterprise and Technology Consulting,6.650000095,7.230000019,7.699999809
UPS,"United Parcel Service, Inc. Class B",12/31/2007,73619.52,40,Industrials,4015,Industrial Services,401515,Delivery and Logistics Services,40151510,Express Couriers,4015151010,Express Couriers,4.01515E+11,Express Couriers,6.820000172,7.550000191,7.739999771
X,United States Steel Corporation,12/31/2007,14266.78561,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102020,Integrated Steel Mills and Products Manufacturing,4.5151E+11,Integrated Steel Mills Manufacturing Flats,3.329999924,3.890000105,3.349999905
UTX,United Technologies Corporation,12/31/2007,75280.68738,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102030,Other Machinery Manufacturing,4010203025,Diversified Industrial Manufacturing,4.0102E+11,Diversified Industrial Manufacturing,7.420000076,6.670000076,7.5
UNH,UnitedHealth Group Incorporated,12/31/2007,72924.6,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,3.99000001,6.199999809,6.5
UNM,Unum Group,12/31/2007,8585.65577,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Other Supplemental Health Insurance,4.5,3.089999914,4.21999979
UST.1,UST Inc.,12/31/2007,8271.328749,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152020,Other Tobacco Product Makers,5015202010,Other Tobacco Products Makers,5.0152E+11,Other Tobacco Products Makers,1.529999971,6.5,2.430000067
VFC,V.F. Corporation,12/31/2007,7538.729581,20,Consumer Cyclicals,2010,Consumer Goods,201010,Apparel and Accessory Products,20101015,Apparel and Footwear Production,2010101515,Apparel Production,2.0101E+11,Multi-Type Apparel Production,4.730000019,4.5,5.75
VLO,Valero Energy Corporation,12/31/2007,37582.29917,25,Energy,2515,Downstream and Midstream Energy,251510,Downstream Energy,25151015,Petroleum Refineries,2515101510,Americas Petroleum Refineries,2.5151E+11,Americas Petroleum Refineries,4.829999924,6,6.059999943
VAR,"Varian Medical Systems, Inc.",12/31/2007,6545.34976,35,Healthcare,3520,Healthcare Equipment,352020,Other Medical Devices,35202015,Specialized Medical Devices,3520201515,System-Specific Specialized Medical Devices,3.5202E+11,Oncology Devices,5.019999981,7.510000229,5.940000057
VRSN,"VeriSign, Inc.",12/31/2007,8381.363978,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201025,Internet Support Services,5520102510,Internet Support Services,5.5201E+11,General Internet and Online Services,-,-,-
VZ,Verizon Communications Inc.,12/31/2007,125688.4458,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,3.920000076,5,5.559999943
VIAB,Viacom Inc. Class B,12/31/2007,28319.616,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101515,Television Cable and Broadcast Networks,1.5151E+11,US TV Cable and Broadcast Networks,1.419999957,3.190000057,3.380000114
VNO,Vornado Realty Trust,12/31/2007,13463.0875,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Multi-Type Equity REITs,4.21999979,4.590000153,4.46999979
VMC,Vulcan Materials Company,12/31/2007,8560.22706,45,Non-Energy Materials,4515,Mining and Mineral Products,451535,Construction Materials,45153520,Heavy Building Material and Aggregate Products,4515352010,"Asphalt, Cement and Concrete Products",4.51535E+11,"Concrete Blocks, Bricks and Aggregates Makers",3.099999905,4.179999828,4.239999771
GWW,"W.W. Grainger, Inc.",12/31/2007,6954.288001,40,Industrials,4015,Industrial Services,401520,Diversified Industrials Distribution,40152020,Diversified Industrial Distribution,4015202010,Diversified Industrial Distribution,4.0152E+11,Diversified Industrial Distribution,3.660000086,5.949999809,4.309999943
WB.3,Wachovia Corp.,12/31/2007,74538.8,-,-,-,-,-,-,-,-,-,-,-,-,8.010000229,7.869999886,6.989999771
WBA,Walgreen Co.,12/31/2007,37751.76426,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501020,Health and Personal Care Retail,50102015,Pharmacies and Drug Retailers,5010201510,Pharmacies and Drug Stores,5.0102E+11,Pharmacies and Drug Stores,-,-,-
WMT,Walmart Inc.,12/31/2007,190348.5802,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101530,Warehouse Clubs and Superstores,5010153010,Warehouse Club Stores and Superstores,5.01015E+11,Warehouse Club Stores and Superstores,6.170000076,1.5,3.200000048
DIS,Walt Disney Company,12/31/2007,62332.68,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,7.539999962,7.099999905,7.900000095
WAMUQ,"Washington Mutual, Inc.",12/31/2007,11827.58116,30,Finance,3010,Banking,301020,United States Banks,30102015,United States Savings Institutions,3010201515,United States South and West Savings Institutions,3.0102E+11,Western United States Savings Institutions,4.960000038,3.579999924,3.869999886
GHC,Washington Post Co.,12/31/2007,7531.285077,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151020,Print Media and Publishing Services,1515102020,Publishing,1.5151E+11,Mixed Print Media,1.549999952,5.519999981,4.889999866
WM,"Waste Management, Inc.",12/31/2007,16338.88018,10,Business Services,1010,Business Services,101025,Waste Management Services,10102510,General Waste Collection,1010251010,General Waste Collection,1.01025E+11,General Waste Collection,5.5,5.21999979,5.510000229
WAT,Waters Corporation,12/31/2007,7984.09325,35,Healthcare,3515,Healthcare Services,351520,Miscellaneous Healthcare,35152025,Scientific Products,3515202515,General Scientific Products,3.5152E+11,Scientific Analytical Instruments,3.059999943,4.300000191,3.910000086
AGN,Watson Pharmaceuticals Inc.,12/31/2007,2813.27812,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,-,-,-
WFT,Weatherford International Ltd.,12/31/2007,23261.7798,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201510,Oil and Gas Field Equipment Manufacturing,2.5102E+11,Oil and Gas Drilling Equipment,3.619999886,4,4.480000019
ANTM,"WellPoint, Inc.",12/31/2007,48796.48218,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,4.800000191,7.199999809,7.690000057
WFC,Wells Fargo & Company,12/31/2007,99539.51566,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,6.949999809,3.130000114,6.010000229
WEN.2,Wendy's International Inc.,12/31/2007,2258.33848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WU,Western Union Company,12/31/2007,18205.144,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101530,Electronic Transaction Processing/Clearinghouses,3.0301E+11,Mixed Electronic Transaction Processing,5.150000095,5.75,6.840000153
WY,Weyerhaeuser Company,12/31/2007,15451.95699,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,6.809999943,6.059999943,6.880000114
WHR,Whirlpool Corporation,12/31/2007,6203.88,20,Consumer Cyclicals,2010,Consumer Goods,201020,Household Appliances and Furnishings Production,20102010,Household Appliances and Furnishings Production,2010201015,Major Appliances Manufacturing,2.0102E+11,Major Appliances Manufacturing,6.079999924,5.829999924,8.079999924
WFM,"Whole Foods Market, Inc.",12/31/2007,5680.992,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501010,Food and Beverage Retail,50101020,Grocery Stores,5010102020,Supermarkets,5.0101E+11,United States Supermarkets,5.900000095,5.440000057,5.769999981
WMB,"Williams Companies, Inc.",12/31/2007,20967.08,25,Energy,2515,Downstream and Midstream Energy,251515,Midstream Energy,25151510,Natural Gas Pipeline and Storage Services,2515151015,US and Canada Natural Gas Pipeline and Storage,2.51515E+11,US and Canada Natural Gas Pipeline and Storage,3.789999962,2.779999971,3.150000095
WIN,Windstream Corp.,12/31/2007,5917.59,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Other United States Wireline Voice Services,-,-,-
WWY,WM Wrigley Jr. Co.,12/31/2007,16123.20625,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151535,Sweets and Snacks Production,5.01515E+11,Confectionery Manufacturing,4.949999809,6,6.519999981
WYE,Wyeth,12/31/2007,59116.76816,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.860000134,4.510000229,5.619999886
WYN,Wyndham Worldwide Corporation,12/31/2007,4175.239517,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101025,"Hotels, Motels and Resorts",1.5101E+11,"Mixed-Type Hotels, Motels and Resorts",1.720000029,1.25,2.910000086
XEL,Xcel Energy Inc.,12/31/2007,9677.625539,65,Utilities,6510,Utilities,651010,Energy Utilities,65101025,Wholesale Power Generation and Marketing,6510102525,US Other and Mixed Wholesale Power,6.5101E+11,US Mixed Wholesale Power,4.739999771,4.090000153,4.960000038
XRX,Xerox Corporation,12/31/2007,14849.09563,55,Technology,5515,Hardware,551510,Commercial Electronics,55151030,Office Equipment Products,5515103010,Document Duplication Equipment and Copiers,5.5151E+11,Document Duplication Equipment and Copier Makers,6.710000038,7.050000191,6.489999771
XLNX,"Xilinx, Inc.",12/31/2007,6259.194,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,6.269999981,6.329999924,7.21999979
XL,XL Capital Ltd.,12/31/2007,8950.659697,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,-,-,-
XTO,XTO Energy Inc,12/31/2007,24924.68818,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,2.380000114,7.559999943,5.079999924
AABA,Yahoo! Inc.,12/31/2007,30955.05928,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201035,Web-Based Data and Services,5520103515,Web-Related Content Providers,5.5201E+11,Web Portal Sites and Software,-,-,-
YUM,"Yum! Brands, Inc.",12/31/2007,19096.73,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101025,Restaurants and Bars,1510102515,Limited-Service and Fast Food Restaurants,1.5101E+11,General Limited-Service and Fast Food Restaurants,1.090000033,1.629999995,3.059999943
ZBH,"Zimmer Biomet Holdings, Inc.",12/31/2007,15406.335,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201510,System-Specific General Medical Devices,3520151015,Orthopedics Medical Devices,3.52015E+11,Joint Replacement and Reconstruction Devices,6.590000153,5.179999828,6.909999847
ZION,Zions Bancorporation,12/31/2007,5001.269618,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201020,United States Midwest and West Commercial Banks,3.0102E+11,United States Western Commercial Banks,5.050000191,5.940000057,7
MMM,3M Company,12/31/2008,39906.48073,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,4.239999771,5.079999924,5.329999924
ABT,Abbott Laboratories,12/31/2008,82853.34553,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.690000057,5.329999924,5.260000229
ANF,Abercrombie & Fitch Co. Class A,12/31/2008,2008.19736,20,Consumer Cyclicals,2025,Consumer Retail,202510,Apparel and Accessories Retail,20251020,Apparel Retail,2025102010,Casual and Specialty Apparel Retail,2.0251E+11,Teen/Young Adults Apparel and Accessories Retail,2.970000029,4.119999886,3.180000067
ADBE,Adobe Systems Incorporated,12/31/2008,11200.90319,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151025,Specialized Design and Engineering Software,5.52015E+11,Multimedia Design and Engineering Software,5.5,6.409999847,7.96999979
AMD,"Advanced Micro Devices, Inc.",12/31/2008,1300.32,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102030,Processor Semiconductors,5510203025,Microprocessor Semiconductors,5.5102E+11,Microprocessor (MPU) Semiconductors,8.5,8.329999924,9.279999733
AES,AES Corporation,12/31/2008,5461.362779,65,Utilities,6510,Utilities,651010,Energy Utilities,65101025,Wholesale Power Generation and Marketing,6510102520,Other International Wholesale Power,6.5101E+11,Multinational Wholesale Power,4.239999771,3.930000067,5.039999962
AET,Aetna Inc.,12/31/2008,13004.55,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,4.789999962,5.829999924,6.860000134
ACS,Affiliated Computer Services Inc. Cl A,12/31/2008,4482.65225,10,Business Services,1010,Business Services,101015,Other Professional Services,10101515,Consulting/Business Process Outsourcing Services,1010151510,Business Process Outsourcing Services,1.01015E+11,Diverse Business Process Outsourcing Services,4.960000038,2.289999962,5.849999905
AFL,Aflac Incorporated,12/31/2008,21389.6316,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Other Supplemental Health Insurance,4.630000114,3.200000048,4.599999905
A,"Agilent Technologies, Inc.",12/31/2008,5470.5,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,7,8.899999619,7.420000076
APD,"Air Products and Chemicals, Inc.",12/31/2008,10539.27099,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451010,Commodity Chemicals,45101015,Other Commodity Chemical Manufacturing,4510101515,Industrial Gas Manufacturing,4.5101E+11,Industrial Gas Manufacturing,6.400000095,7,8.06000042
AKS,AK Steel Holding Corporation,12/31/2008,1028.879294,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102020,Integrated Steel Mills and Products Manufacturing,4.5151E+11,Integrated Steel Mills Mixed Production Makers,-,-,-
AKAM,"Akamai Technologies, Inc.",12/31/2008,2555.818576,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201020,Internet Hosting Services,5520102010,Colocation and Data Center Services,5.5201E+11,Colocation and Data Center Services,5.289999962,6.619999886,6.889999866
AA,Alcoa Corp.,12/31/2008,9011.573564,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102010,Alumina and Aluminum Products Manufacturing,4.5151E+11,Multi-Type Alumina and Aluminum Product Makers,-,-,-
AYE,Allegheny Energy,12/31/2008,5734.678381,65,Utilities,6510,Utilities,651010,Energy Utilities,65101020,Other Electric and Natural Gas Utilities,6510102020,Other United States Energy Utilities,6.5101E+11,Other United States Energy Utilities,2.390000105,3.140000105,3.269999981
ATI,Allegheny Technologies Incorporated,12/31/2008,2484.859639,-,-,-,-,-,-,-,-,-,-,-,-,3.109999895,3.200000048,3.430000067
AGN.2,"Allergan, Inc.",12/31/2008,12260.82816,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.670000076,4.900000095,5.050000191
ALL,Allstate Corporation,12/31/2008,17559.36,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102015,Personal Insurance,3.0151E+11,Other Personal Insurance,3.869999886,4.25,4.03000021
ALTR.1,Altera Corporation,12/31/2008,4891.56843,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,5.949999809,4.5,5.440000057
MO,Altria Group Inc,12/31/2008,31044.25606,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152010,Cigarette Manufacturing,5015201010,Cigarette Manufacturing,5.0152E+11,Cigarette Manufacturing,4.079999924,3,4.139999866
AMZN,"Amazon.com, Inc.",12/31/2008,21947.84,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251520,Mixed Electronics and Entertainment Retail,2025152010,Mixed Electronics and Entertainment Retail,2.02515E+11,Mixed Electronics and Entertainment Retail,6.989999771,6.619999886,6.769999981
AEE,Ameren Corporation,12/31/2008,7061.098,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,3.380000114,3.410000086,4.570000172
ACAS,"American Capital, Ltd.",12/31/2008,663.228,30,Finance,3020,Investment Services,302010,Investment Services,30201020,Investment Holding Companies,3020102015,Business Development Companies,3.0201E+11,Business Development Companies,3.200000048,4.389999866,4.900000095
AEP,"American Electric Power Company, Inc.",12/31/2008,13514.0514,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101015,Other United States Electric Utilities,6.5101E+11,Other United States Electric Utilities,3.900000095,3.390000105,3.289999962
AXP,American Express Company,12/31/2008,21518,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101535,General Consumer Finance Services,3.0301E+11,General Consumer Finance Services,8.140000343,7.889999866,8.909999847
AIG,"American International Group, Inc.",12/31/2008,4222.780451,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,7.559999943,7.329999924,6.670000076
AMT,American Tower Corporation,12/31/2008,11639.36259,60,Telecommunications,6010,Telecommunications,601010,Other Telecommunications Services,60101040,Telecommunications Industry Software and Services,6010104015,Wireless Infrastructure Services,6.0101E+11,Wireless Infrastructure Services,4.28000021,6.239999771,3.440000057
AMP,"Ameriprise Financial, Inc.",12/31/2008,5057.689929,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,3.559999943,4.809999943,4.650000095
ABC,AmerisourceBergen Corporation,12/31/2008,5466.815505,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,4.989999771,5.329999924,5.340000153
AMGN,Amgen Inc.,12/31/2008,60464.25,35,Healthcare,3510,Biopharmaceuticals,351020,System-Specific Biopharmaceuticals,35102030,Hematology Biopharmaceuticals,3510203010,Hematology Biopharmaceuticals,3.5102E+11,Hematology Biopharmaceuticals,7.230000019,5.559999943,5.860000134
APH,Amphenol Corporation Class A,12/31/2008,4051.287288,55,Technology,5510,Electronic Components and Manufacturing,551010,Electronic Components,55101010,Interconnect Electronic Components,5510101015,Electronic Interconnect Components,5.5101E+11,Electronic Interconnect Components,2.420000076,3.150000095,3.420000076
APC,Anadarko Petroleum Corporation,12/31/2008,17729.145,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,3.609999895,2.109999895,3.299999952
ADI,"Analog Devices, Inc.",12/31/2008,5538.499438,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,4.619999886,4.829999924,5.21999979
AON,Aon plc,12/31/2008,12429.528,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,-,-,-
APA,Apache Corporation,12/31/2008,24945.94107,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,4.340000153,4.670000076,4.869999886
AIV,Apartment Investment and Management Company Class A,12/31/2008,1341.889129,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,4.53000021,5.599999905,4.929999828
APOL,"Apollo Education Group, Inc. Class A",12/31/2008,12183.95916,50,Consumer Non-Cyclicals,5025,Household Services,502510,Personal Professional Services,50251010,Educational Services,5025101015,Post-Secondary Educational Services,5.0251E+11,Colleges,4.920000076,3,5.400000095
AAPL,Apple Inc.,12/31/2008,75996.91376,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152025,General Computer Hardware,5515202515,Diversified Technology Hardware,5.5152E+11,Diversified Technology Hardware,7.210000038,5.239999771,7.050000191
AMAT,"Applied Materials, Inc.",12/31/2008,13480.60893,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,5.989999771,7.170000076,7.71999979
ADM,Archer-Daniels-Midland Company,12/31/2008,18493.69542,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501510,Agriculture,50151025,Agricultural Support Activity Providers,5015102510,Other Agricultural Support Activity Providers,5.0151E+11,Crop Processing,3.25999999,3.670000076,4.150000095
AIZ,"Assurant, Inc.",12/31/2008,3521.05602,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,-,-,-
T,AT&T Inc.,12/31/2008,167950.764,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,5.130000114,4.920000076,4.940000057
ADSK,"Autodesk, Inc.",12/31/2008,4446.578359,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151010,Computer Aided Design Software,5.52015E+11,Computer Aided Design (CAD) Software,7.860000134,6.570000172,7.570000172
ADP,"Automatic Data Processing, Inc.",12/31/2008,19827.36,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Other Human Resources Consulting and PEO Services,5.420000076,5.199999809,5.079999924
AN,"AutoNation, Inc.",12/31/2008,1747.310436,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,New Car Dealers,3.180000067,5.590000153,5.03000021
